"","n_versions","n_fixes","n_refact","n_authors","lines_added","max_lin_add","avg_lin_add","lines_rem","max_lin_rem","avg_lin_rem","code_churn","max_code_churn","avg_code_churn","age","weighted_age","class"
"1",65,4,0,8,608,158,935.385,566,158,870.769,42,15,0.646154,350.571,630.609,"NO_BUG"
"2",2,0,0,2,10,10,5,0,0,0,10,10,5,117.714,0,"NO_BUG"
"3",120,10,0,12,1361,99,113.417,768,77,6.4,593,66,494.167,238.429,104.204,"BUG"
"4",28,4,0,5,138,39,492.857,123,39,439.286,15,23,0.535714,367,112.678,"NO_BUG"
"5",93,17,0,8,1870,684,201.075,1881,692,202.258,-11,18,-0.11828,367,549.702,"NO_BUG"
"6",16,5,0,5,37,6,23.125,17,6,10.625,20,4,1.25,264.857,488.224,"NO_BUG"
"7",30,5,0,5,535,142,178.333,74,13,246.667,461,142,153.667,226,32.259,"NO_BUG"
"8",7,6,0,2,14,7,2,29,27,414.286,-15,4,-214.286,150.714,121.531,"NO_BUG"
"9",52,5,0,7,1075,343,206.731,889,343,170.962,186,68,357.692,367,811.875,"NO_BUG"
"10",23,5,0,6,122,42,530.435,138,42,6,-16,16,-0.695652,367,844.309,"NO_BUG"
"11",25,8,0,5,228,82,9.12,61,8,2.44,167,74,6.68,229.714,104.781,"NO_BUG"
"12",11,4,0,3,193,81,175.455,12,4,109.091,181,81,164.545,222.857,131.984,"NO_BUG"
"13",32,7,0,5,219,89,684.375,207,89,646.875,12,11,0.375,367,539.478,"NO_BUG"
"14",52,3,0,5,991,226,190.577,633,148,121.731,358,161,688.462,367,136.59,"NO_BUG"
"15",13,2,0,4,91,31,7,49,14,376.923,42,17,323.077,175,354.835,"NO_BUG"
"16",9,5,0,4,11,5,122.222,10,5,111.111,1,1,0.111111,224.857,863.117,"NO_BUG"
"17",193,30,0,12,6571,1071,340.466,6072,1123,314.611,499,174,258.549,367,111.711,"BUG"
"18",12,2,0,5,228,53,19,162,35,13.5,66,40,5.5,193.571,472.807,"NO_BUG"
"19",1,0,0,1,0,0,0,0,0,0,0,0,0,785.714,0,"NO_BUG"
"20",91,8,0,9,6880,1627,756.044,5271,1359,579.231,1609,583,176.813,236,960.161,"BUG"
"21",35,6,0,7,405,155,115.714,409,155,116.857,-4,12,-0.114286,367,464.272,"NO_BUG"
"22",6,3,0,3,104,49,173.333,6,4,1,98,49,163.333,228.857,148.173,"NO_BUG"
"23",43,6,0,6,409,105,951.163,317,110,737.209,92,79,213.953,367,133.861,"BUG"
"24",168,12,0,10,2126,307,126.548,1719,307,102.321,407,63,242.262,367,129.876,"BUG"
"25",20,4,0,7,115,14,5.75,175,94,8.75,-60,5,-3,244.571,998.596,"NO_BUG"
"26",92,12,0,9,2972,319,323.043,3264,892,354.783,-292,168,-317.391,239.143,494.217,"BUG"
"27",76,10,0,7,1763,600,231.974,1852,600,243.684,-89,43,-117.105,367,810.014,"BUG"
"28",54,8,0,7,740,243,137.037,669,243,123.889,71,85,131.481,367,941.838,"NO_BUG"
"29",4,1,0,4,18,17,4.5,7,6,1.75,11,11,2.75,141.714,232.937,"NO_BUG"
"30",149,12,0,11,5262,483,353.154,4660,483,312.752,602,226,404.027,367,148.462,"NO_BUG"
"31",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,127,692.857,"NO_BUG"
"32",10,4,0,3,60,32,6,61,33,6.1,-1,0,-0.1,322.714,974.809,"NO_BUG"
"33",47,7,0,5,320,52,680.851,262,52,557.447,58,20,123.404,367,924.138,"NO_BUG"
"34",37,6,0,6,284,64,767.568,258,64,697.297,26,22,0.702703,367,81.749,"NO_BUG"
"35",82,7,0,8,2577,325,314.268,2733,325,333.293,-156,81,-190.244,367,775.985,"BUG"
"36",29,4,0,5,184,69,634.483,185,69,637.931,-1,6,-0.0344828,367,493.261,"NO_BUG"
"37",39,14,0,7,465,167,119.231,264,167,676.923,201,74,515.385,333.143,70.569,"NO_BUG"
"38",7,0,0,1,23,11,328.571,6,4,0.857143,17,10,242.857,16,203.106,"NO_BUG"
"39",89,9,0,9,2001,399,224.831,1889,399,212.247,112,117,125.843,367,118.103,"BUG"
"40",81,18,0,9,1835,349,226.543,1569,379,193.704,266,79,328.395,367,130.299,"BUG"
